time;approach;version;n_envs;max_mean_reward;mean_reward;epoch;epochs;attempt;total_timesteps;filename
1702222530.6702003;PPO;env;4;-2.791447023572149;[-2.79144702 -2.84394229 -2.81442487 -2.8620455 ];1;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702222803.8613095;PPO;env;4;-2.773528596566768;[-2.7735286  -2.82157828 -2.83255717 -2.83667948];2;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702223075.818579;PPO;env;4;-2.800959984639928;[-2.80095998 -2.85079767 -2.82453925 -2.84475571];3;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702223345.7387261;PPO;env;4;-2.8013720709032226;[-2.80137207 -2.84788041 -2.82301253 -2.84017543];4;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702223615.5661955;PPO;env;4;-2.8134814314357035;[-2.81348143 -2.83984957 -2.85153279 -2.84932315];5;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702223885.7531602;PPO;env;4;-2.808417616403066;[-2.80841762 -2.84375739 -2.84587547 -2.84525185];6;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702224164.0822303;PPO;env;4;-2.811872573077467;[-2.81187257 -2.83049107 -2.83705479 -2.85766765];7;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702224466.5835557;PPO;env;4;-2.8155845853887707;[-2.81558459 -2.82671334 -2.83559536 -2.85363189];8;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702224752.9562852;PPO;env;4;-2.8127199572964496;[-2.81271996 -2.82870473 -2.84207429 -2.85133461];9;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702225039.4424472;PPO;env;4;-2.810923993466875;[-2.81092399 -2.83413845 -2.8379058  -2.84369867];10;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702225318.9291399;PPO;env;4;-2.8014017780933305;[-2.80140178 -2.83382306 -2.84216161 -2.84154745];11;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702225607.3394578;PPO;env;4;-2.8001476760332182;[-2.80014768 -2.83185515 -2.83654639 -2.84581645];12;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702225895.8527265;PPO;env;4;-2.799838321587912;[-2.79983832 -2.83419076 -2.83769787 -2.83929855];13;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702226183.9012673;PPO;env;4;-2.8032251086075415;[-2.80322511 -2.83020197 -2.83674665 -2.83995617];14;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702226473.5109975;PPO;env;4;-2.800706635631944;[-2.80070664 -2.83220924 -2.83408561 -2.8382188 ];15;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702226756.6917312;PPO;env;4;-2.8072535811145753;[-2.80725358 -2.83134675 -2.83366292 -2.83905125];16;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702227044.213321;PPO;env;4;-2.8118172424149317;[-2.81181724 -2.83038718 -2.83333671 -2.84063087];17;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702227331.596669;PPO;env;4;-2.8129613995837093;[-2.8129614  -2.82968753 -2.83133642 -2.8387113 ];18;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702227615.1083968;PPO;env;4;-2.8118165425626014;[-2.81181654 -2.82927436 -2.82957009 -2.84095892];19;100;0;10000.0;./weights/PPO-env-4-LND.sav
