time;approach;version;n_envs;max_mean_reward;mean_reward;epoch;epochs;attempt;total_timesteps;filename
1702143994.7142754;PPO;env;4;-388370.96947214304;[-388370.96947214 -563142.46872852 -476610.27075511 -470861.11035365];1;100;0;10000.0;./weights/PPO-env-4.sav
1702144265.7067544;PPO;env;4;-394380.49087645335;[-394380.49087645 -473790.78686023 -513194.55325076 -469308.85637926];2;100;0;10000.0;./weights/PPO-env-4.sav
1702144535.319026;PPO;env;4;-424217.1128912653;[-424217.11289127 -448172.37782404 -502362.20287938 -445523.4799969 ];3;100;0;10000.0;./weights/PPO-env-4.sav
1702144804.6387367;PPO;env;4;-420255.9927266096;[-420255.99272661 -436584.53439999 -497855.39545554 -453624.7856305 ];4;100;0;10000.0;./weights/PPO-env-4.sav
1702145079.2468553;PPO;env;4;-431674.6661846458;[-431674.66618465 -444356.40017705 -479896.79600198 -458662.14471897];5;100;0;10000.0;./weights/PPO-env-4.sav
1702145352.9877665;PPO;env;4;-425796.3745926711;[-425796.37459267 -450812.2803444  -480654.63971542 -448162.18333194];6;100;0;10000.0;./weights/PPO-env-4.sav
1702145624.436345;PPO;env;4;-423681.1671204544;[-423681.16712045 -455196.43863579 -479235.20686721 -440772.61203334];7;100;0;10000.0;./weights/PPO-env-4.sav
1702145901.1790042;PPO;env;4;-420770.8238101766;[-420770.82381018 -446846.53710221 -479570.66975265 -443484.63830798];8;100;0;10000.0;./weights/PPO-env-4.sav
1702146178.019921;PPO;env;4;-428124.6697549141;[-428124.66975491 -441431.42311504 -479966.83249923 -447158.1828354 ];9;100;0;10000.0;./weights/PPO-env-4.sav
1702146454.6632235;PPO;env;4;-425596.3408805525;[-425596.34088055 -444226.26759973 -471419.48235817 -458075.60143957];10;100;0;10000.0;./weights/PPO-env-4.sav
1702146731.0161152;PPO;env;4;-430298.2882003548;[-430298.28820035 -447733.04900525 -465488.14191009 -466748.56225773];11;100;0;10000.0;./weights/PPO-env-4.sav
1702147002.846909;PPO;env;4;-434438.44699906633;[-434438.44699907 -450635.1827081  -459554.66222779 -474760.4133332 ];12;100;0;10000.0;./weights/PPO-env-4.sav
1702147278.6228802;PPO;env;4;-432053.872655893;[-432053.87265589 -446315.14724478 -460928.73701516 -474912.32097305];13;100;0;10000.0;./weights/PPO-env-4.sav
1702147551.8958704;PPO;env;4;-428964.9180650917;[-428964.91806509 -442787.84469781 -461978.29929313 -469140.09666053];14;100;0;10000.0;./weights/PPO-env-4.sav
1702147824.8741646;PPO;env;4;-433069.5139413774;[-433069.51394138 -439518.3380307  -458107.62890881 -474877.77664808];15;100;0;10000.0;./weights/PPO-env-4.sav
1702148104.075667;PPO;env;4;-437367.84067476727;[-441225.66914987 -437367.84067477 -459383.627556   -480296.03499584];16;100;0;10000.0;./weights/PPO-env-4.sav
1702148380.0848322;PPO;env;4;-434786.0631710006;[-438646.9263366  -434786.063171   -455935.09734507 -476145.5822368 ];17;100;0;10000.0;./weights/PPO-env-4.sav
1702148654.824046;PPO;env;4;-437886.67751970136;[-445162.9650511  -437886.6775197  -457032.35970411 -476564.61334568];18;100;0;10000.0;./weights/PPO-env-4.sav
1702148927.523104;PPO;env;4;-440076.4132531477;[-442072.3363336  -440076.41325315 -453850.11140517 -476189.6518411 ];19;100;0;10000.0;./weights/PPO-env-4.sav
1702149203.7988906;PPO;env;4;-439845.2837555517;[-439845.28375555 -450547.24035053 -458833.4998934  -472275.77282081];20;100;0;10000.0;./weights/PPO-env-4.sav
1702149479.428801;PPO;env;4;-438006.1198041288;[-438006.11980413 -452170.86397552 -455280.12188031 -468604.67631404];21;100;0;10000.0;./weights/PPO-env-4.sav
1702149755.6289346;PPO;env;4;-435457.41922749055;[-435457.41922749 -449504.22691757 -456122.16686984 -465879.29380774];22;100;0;10000.0;./weights/PPO-env-4.sav
1702150031.3978074;PPO;env;4;-447473.3352950359;[-451454.71017185 -447473.33529504 -460806.76426257 -463087.35628767];23;100;0;10000.0;./weights/PPO-env-4.sav
1702150308.8345702;PPO;env;4;-445303.5622871746;[-452300.22654231 -445303.56228717 -465030.58009321 -460048.51427105];24;100;0;10000.0;./weights/PPO-env-4.sav
1702150584.4130073;PPO;env;4;-443003.6672080114;[-450184.60190116 -443003.66720801 -465326.84460576 -464368.69298749];25;100;0;10000.0;./weights/PPO-env-4.sav
1702150860.376233;PPO;env;4;-441214.1987690358;[-448202.41003141 -441214.19876904 -462440.91806116 -465055.38965792];26;100;0;10000.0;./weights/PPO-env-4.sav
